ID,participant,x1_JJJ,x2_nchar,freq,
757,KKR10,0,235,2,
758,KKR11,0,224,2,
759,KKR12,0,189,1,
760,KKR13,0,187,1,
761,KKR14,0,197,1,
762,KKR15,0,177,0,
763,KKR16,0,172,0,
764,KKR17,0,292,0,
765,KKR19,0,160,2,
766,KKR20,0,209,2,
767,KKR21,0,302,1,
768,KKR22,0,157,1,
769,KKR23,0,169,0,
770,KKR24,0,250,2,
771,KKR25,0,221,2,
772,KKR26,0,216,0,
773,KKR28,0,255,0,
774,KKR29,0,222,1,
775,KKR30,0,170,1,
776,KKR31,0,261,0,
777,KKR33,0,180,1,
778,KKR34,0,107,0,
779,KKR35,0,128,0,
780,KKR36,0,174,2,
781,KKR37,0,449,0,
782,KKR38,0,249,2,
783,KKR39,0,174,0,
784,KKR40,0,172,1,
785,KKR41,0,341,0,
786,KKR43,0,125,0,
787,KKR44,0,243,0,
788,KKR45,0,280,0,
789,KKR46,0,192,1,
790,KKR47,0,203,0,
791,KKR49,0,269,1,
792,KKR50,0,160,2,
793,KKR51,0,195,2,
794,KKR52,0,317,1,
795,KKR53,0,331,0,
796,KKR54,0,255,3,
797,KKR55,0,180,1,
798,KKR56,0,197,1,
799,KKR57,0,121,0,
800,KKR58,0,218,1,
801,RRS01,0,165,0,
802,RRS02,0,277,0,
803,RRS03,0,126,0,
804,RRS04,0,231,0,
805,RRS05,0,108,0,
806,RRS06,0,167,0,
807,RRS10,0,166,0,
808,RRS11,0,258,1,
809,RRS12,0,151,0,
810,RRS13,0,147,0,
811,RRS14,0,182,1,
812,RRS15,0,121,0,
813,RRS16,0,113,0,
814,RRS18,0,295,0,
815,RRS19,0,139,1,
816,RRS20,0,164,0,
817,RRS21,0,167,0,
818,RRS22,0,151,0,
819,RRS23,0,129,1,
820,RRS24,0,179,0,
821,RRS25,0,292,1,
822,RRS26,0,198,1,
823,RRS27,0,158,0,
824,RRS28,0,184,1,
825,RRS29,0,176,0,
826,RRS30,0,222,0,
827,RRS32,0,214,0,
828,RRS33,0,245,0,
829,RRS34,0,175,1,
830,RRS35,0,387,1,
831,RRS36,0,192,0,
832,RRS38,0,163,0,
833,RRS39,0,134,1,
834,RRS40,0,254,1,
835,RRS41,0,251,1,
836,RRS42,0,148,1,
837,RRS43,0,193,0,
838,RRS44,0,190,1,
839,RRS45,0,175,0,
840,RRS46,0,193,1,
841,RRS47,0,124,0,
842,RRS48,0,206,0,
843,RRS49,0,158,0,
844,RRS53,0,165,1,
845,RRS55,0,185,1,
846,RRS56,0,284,0,
847,RRS57,0,280,0,
848,RRS58,0,295,0,
849,RRS59,0,153,0,
850,RRS60,0,413,1,
851,SES01,0,160,1,
852,SES02,0,164,2,
853,SES03,0,120,0,
854,SES04,0,149,0,
855,SES05,0,124,0,
856,SES06,0,136,1,
857,SES07,0,64,0,
858,SES08,0,152,0,
859,SES09,0,126,0,
860,SES11,0,120,1,
861,SES12,0,138,0,
862,SES14,0,112,1,
863,SES15,0,250,0,
864,SES16,0,221,2,
865,SES17,0,234,0,
866,SES18,0,115,1,
867,SES19,0,146,0,
868,SES20,0,161,0,
869,SES21,0,141,0,
870,SES22,0,145,0,
871,SES23,0,247,1,
872,SES24,0,128,1,
873,SES25,0,145,2,
874,SES26,0,200,0,
875,SES27,0,103,1,
876,SES28,0,164,1,
877,SES30,0,152,1,
878,SES32,0,181,1,
879,SES33,0,141,0,
880,SES34,0,128,0,
881,SES35,0,226,1,
882,SES36,0,144,1,
883,SES37,0,142,1,
884,SES38,0,192,1,
885,SES39,0,102,0,
886,SES40,0,104,0,
887,SES41,0,376,1,
888,SES42,0,124,0,
889,SES43,0,74,0,
890,SES45,0,221,0,
891,SES47,0,102,0,
892,SES48,0,113,0,
893,SES49,0,138,1,
894,SES50,0,219,1,
895,SES52,0,166,0,
896,SES53,0,93,1,
897,SES54,0,134,0,
898,SES55,0,147,0,
899,SES56,0,175,0,
900,SES58,0,156,0,
901,TTH01,0,161,1,
902,TTH03,0,184,1,
903,TTH04,0,112,0,
904,TTH05,0,156,3,
905,TTH07,0,217,1,
906,TTH08,0,146,1,
907,TTH09,0,121,1,
908,TTH10,0,148,1,
909,TTH11,0,286,1,
910,TTH12,0,155,0,
911,TTH13,0,175,0,
912,TTH14,0,184,1,
913,TTH15,0,188,1,
914,TTH16,0,143,0,
915,TTH18,0,155,2,
916,TTH19,0,141,1,
917,TTH20,0,117,1,
918,TTH21,0,175,2,
919,TTH22,0,122,2,
920,TTH23,0,152,1,
921,TTH24,0,186,1,
922,TTH25,0,252,0,
923,TTH26,0,193,1,
924,TTH27,0,181,1,
925,TTH28,0,110,2,
926,TTH29,0,138,1,
927,TTH30,0,161,1,
928,TTH31,0,149,1,
929,TTH32,0,112,1,
930,TTH33,0,168,3,
931,TTH34,0,173,2,
932,TTH35,0,109,0,
933,TTH36,0,152,1,
934,TTH37,0,139,1,
935,TTH38,0,119,1,
936,TTH39,0,140,1,
937,TTH40,0,132,0,
938,TTH41,0,217,2,
939,TTH42,0,256,1,
940,TTH43,0,185,1,
941,TTH44,0,218,0,
942,TTH45,0,169,0,
943,TTH46,0,161,2,
944,TTH47,0,118,0,
945,TTH48,0,134,0,
946,TTH49,0,121,3,
947,TTH50,0,118,0,
948,TTH51,0,149,2,
949,TTH52,0,196,1,
950,TTH53,0,219,1,
951,TTR02,0,188,0,
952,TTR03,0,214,0,
953,TTR04,0,181,0,
954,TTR05,0,134,0,
955,TTR06,0,240,0,
956,TTR08,0,78,0,
957,TTR10,0,185,0,
958,TTR11,0,207,0,
959,TTR12,0,160,0,
960,TTR13,0,148,0,
961,TTR14,0,245,0,
962,TTR15,0,105,0,
963,TTR16,0,126,0,
964,TTR17,0,118,0,
965,TTR18,0,246,0,
966,TTR19,0,115,0,
967,TTR20,0,103,0,
968,TTR23,0,157,0,
969,TTR24,0,233,1,
970,TTR25,0,123,0,
971,TTR26,0,253,0,
972,TTR27,0,86,0,
973,TTR28,0,199,0,
974,TTR29,0,96,0,
975,TTR33,0,152,1,
976,TTR34,0,247,0,
977,TTR35,0,225,1,
978,TTR36,0,172,0,
979,TTR37,0,172,0,
980,TTR39,0,127,0,
981,TTR41,0,190,2,
982,TTR42,0,105,0,
983,TTR43,0,199,0,
984,TTR45,0,233,0,
985,TTR46,0,125,0,
986,TTR47,0,250,0,
987,TTR48,0,181,1,
988,TTR49,0,158,0,
989,TTR50,0,156,0,
990,TTR51,0,202,0,
991,TTR52,0,232,1,
992,TTR53,0,282,1,
993,TTR54,0,121,0,
